epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,11234,0.79136,1.22713,0.44221,0.95135,0.89901,0.80948,0.89416,0.56039,0.90842,0.8119,0.90654,0.5594,1.11968,1.47941,1.41087,0.95826,0.005248,0.005248,0.005248
50,11462.5,0.78288,1.21215,0.43253,0.95113,0.89988,0.80839,0.8954,0.5614,0.90685,0.80976,0.90619,0.56029,1.11983,1.48013,1.40577,0.95823,0.005149,0.005149,0.005149
51,11690.9,0.77143,1.20449,0.42888,0.94339,0.89701,0.80861,0.89477,0.56248,0.90969,0.80853,0.90646,0.56174,1.11923,1.48076,1.40137,0.95839,0.00505,0.00505,0.00505
52,11919.4,0.77136,1.2025,0.43291,0.94193,0.89584,0.81096,0.89573,0.56306,0.91226,0.80947,0.90758,0.56288,1.11898,1.48087,1.388,0.95829,0.004951,0.004951,0.004951
53,12147.7,0.77323,1.20316,0.43141,0.94309,0.90437,0.80561,0.89578,0.56359,0.91187,0.81044,0.90807,0.56338,1.11923,1.48214,1.38362,0.95808,0.004852,0.004852,0.004852
54,12376.1,0.7565,1.17414,0.41559,0.93734,0.90391,0.80609,0.89567,0.56486,0.91191,0.81092,0.90827,0.56293,1.1181,1.4833,1.38004,0.95736,0.004753,0.004753,0.004753
55,12604.3,0.76722,1.1847,0.42364,0.94193,0.90541,0.80561,0.89665,0.5646,0.91021,0.80899,0.90694,0.56271,1.11786,1.48521,1.37264,0.95749,0.004654,0.004654,0.004654
56,12832.5,0.75615,1.17038,0.42045,0.93801,0.90307,0.80643,0.89541,0.56355,0.90686,0.80981,0.90619,0.56216,1.11863,1.48657,1.36955,0.95756,0.004555,0.004555,0.004555
57,13060.5,0.74084,1.15948,0.40963,0.93512,0.89999,0.80996,0.89498,0.56332,0.90421,0.81248,0.90581,0.56181,1.12009,1.48846,1.36549,0.95816,0.004456,0.004456,0.004456
58,13288.5,0.7449,1.16607,0.40989,0.93398,0.90027,0.80899,0.89466,0.56366,0.90437,0.814,0.90602,0.56171,1.12032,1.48952,1.36126,0.95842,0.004357,0.004357,0.004357
59,13516.7,0.73019,1.14969,0.40365,0.92866,0.89908,0.81044,0.89418,0.56377,0.89356,0.82205,0.90575,0.56168,1.11984,1.49012,1.35493,0.95832,0.004258,0.004258,0.004258
60,13744.7,0.72866,1.13538,0.40046,0.93014,0.89851,0.80513,0.89532,0.56455,0.89238,0.8206,0.90716,0.56307,1.11984,1.49211,1.35298,0.9587,0.004159,0.004159,0.004159
61,13972.7,0.72718,1.12541,0.40124,0.92583,0.89243,0.81439,0.89565,0.56444,0.89412,0.82012,0.90589,0.56319,1.12009,1.49434,1.3459,0.95901,0.00406,0.00406,0.00406
62,14200.9,0.71067,1.11327,0.39215,0.92405,0.8925,0.81238,0.89506,0.56539,0.89668,0.81833,0.90569,0.56354,1.12,1.49614,1.34306,0.95938,0.003961,0.003961,0.003961
63,14429.1,0.71777,1.12028,0.39348,0.92161,0.89123,0.81335,0.89413,0.56521,0.87416,0.83974,0.9052,0.56351,1.12016,1.49742,1.34125,0.95994,0.003862,0.003862,0.003862
64,14656.8,0.7133,1.1107,0.39009,0.92604,0.89261,0.81185,0.89385,0.56574,0.89646,0.82056,0.90585,0.56355,1.12031,1.49932,1.3401,0.96005,0.003763,0.003763,0.003763
65,14885.1,0.70852,1.10667,0.39129,0.92108,0.89079,0.81255,0.89382,0.56601,0.89607,0.82205,0.90642,0.56343,1.12007,1.50141,1.33964,0.96012,0.003664,0.003664,0.003664
66,15113.3,0.69923,1.084,0.38551,0.92028,0.88743,0.81581,0.89476,0.5661,0.89647,0.82069,0.90705,0.56373,1.12039,1.50461,1.33448,0.96087,0.003565,0.003565,0.003565
67,15341.6,0.69098,1.08467,0.38367,0.91806,0.88831,0.81625,0.8957,0.5655,0.89571,0.82108,0.9076,0.56377,1.12002,1.50682,1.3303,0.96092,0.003466,0.003466,0.003466
68,15569.6,0.68529,1.08663,0.3766,0.91263,0.88433,0.82012,0.89579,0.56638,0.89098,0.82689,0.90819,0.56454,1.12024,1.50863,1.32274,0.96147,0.003367,0.003367,0.003367
69,15797.6,0.68684,1.07315,0.3758,0.91441,0.87995,0.82232,0.89548,0.567,0.88129,0.83414,0.90868,0.56511,1.11982,1.51017,1.31369,0.96126,0.003268,0.003268,0.003268
70,16026,0.68113,1.06957,0.37341,0.91133,0.88885,0.81867,0.89531,0.56775,0.893,0.82447,0.90713,0.56558,1.12037,1.51229,1.31059,0.96168,0.003169,0.003169,0.003169
71,16254,0.67497,1.0526,0.37173,0.91063,0.88395,0.82012,0.89428,0.56779,0.88444,0.83027,0.90721,0.56636,1.12027,1.51338,1.30687,0.96193,0.00307,0.00307,0.00307
72,16482.1,0.67193,1.05547,0.36842,0.90869,0.88468,0.8198,0.89475,0.56763,0.8865,0.8293,0.90603,0.56622,1.12022,1.51653,1.30691,0.96239,0.002971,0.002971,0.002971
73,16710,0.66146,1.043,0.36583,0.90611,0.88641,0.81915,0.89471,0.56837,0.89193,0.82447,0.90641,0.56665,1.11663,1.51889,1.28948,0.96089,0.002872,0.002872,0.002872
74,16938.2,0.6697,1.03609,0.36971,0.90861,0.88972,0.81673,0.89401,0.56803,0.89364,0.82302,0.90543,0.56687,1.11658,1.52153,1.28712,0.96101,0.002773,0.002773,0.002773
75,17166.3,0.64993,1.02502,0.36039,0.9029,0.90154,0.8058,0.89339,0.56857,0.89411,0.82478,0.90537,0.5674,1.11578,1.52376,1.28226,0.9604,0.002674,0.002674,0.002674
76,17394.3,0.65122,1.02546,0.3584,0.90293,0.90216,0.80513,0.89232,0.56937,0.89106,0.82495,0.90495,0.56783,1.11549,1.52583,1.27527,0.95998,0.002575,0.002575,0.002575
77,17622.5,0.63544,1.01071,0.35004,0.89792,0.90042,0.80706,0.89309,0.56973,0.89525,0.82242,0.9044,0.56765,1.11571,1.5284,1.26964,0.96007,0.002476,0.002476,0.002476
78,17850.7,0.6351,1.00825,0.3475,0.90008,0.89675,0.80803,0.89234,0.56955,0.89715,0.81831,0.90385,0.56785,1.11597,1.53095,1.26543,0.96051,0.002377,0.002377,0.002377
79,18078.8,0.63228,0.99762,0.34672,0.89759,0.90087,0.80416,0.89249,0.57004,0.89412,0.81818,0.90207,0.56792,1.11625,1.53247,1.26099,0.96052,0.002278,0.002278,0.002278
80,18306.8,0.62946,0.98744,0.34258,0.89838,0.90125,0.80321,0.89254,0.57021,0.89578,0.81625,0.90182,0.56805,1.1146,1.53555,1.24528,0.95747,0.002179,0.002179,0.002179
81,18534.6,0.61733,0.97849,0.33805,0.8962,0.89776,0.80513,0.89228,0.57074,0.90085,0.81279,0.90204,0.56831,1.10396,1.53895,1.21645,0.95449,0.00208,0.00208,0.00208
82,18762.7,0.61368,0.97419,0.33641,0.89362,0.89325,0.80803,0.89177,0.57127,0.89859,0.81286,0.90283,0.56811,1.10415,1.54068,1.2105,0.9548,0.001981,0.001981,0.001981
83,18990.7,0.60568,0.96788,0.33199,0.88791,0.89281,0.81093,0.89282,0.57176,0.89707,0.8148,0.90291,0.56859,1.10432,1.54266,1.20863,0.95519,0.001882,0.001882,0.001882
84,19218.8,0.60199,0.96257,0.3299,0.88985,0.89555,0.80948,0.89332,0.57227,0.89904,0.81388,0.90292,0.56981,1.10413,1.54459,1.20604,0.95524,0.001783,0.001783,0.001783
85,19446.9,0.59917,0.95095,0.32444,0.88713,0.89163,0.81093,0.89276,0.57214,0.89688,0.81625,0.90338,0.57021,1.1046,1.54623,1.20486,0.95529,0.001684,0.001684,0.001684
86,19675.1,0.58608,0.93689,0.31972,0.88544,0.89432,0.81044,0.89246,0.57212,0.89857,0.81528,0.90262,0.57084,1.1054,1.54772,1.20068,0.95604,0.001585,0.001585,0.001585
87,19903.1,0.58941,0.94684,0.31987,0.88515,0.89587,0.80708,0.8927,0.57266,0.90017,0.8154,0.90227,0.57044,1.10578,1.55029,1.19919,0.95649,0.001486,0.001486,0.001486
88,20131.1,0.58195,0.9422,0.31602,0.88358,0.89682,0.80696,0.89275,0.57382,0.90136,0.81302,0.90171,0.57127,1.10589,1.55366,1.1943,0.95683,0.001387,0.001387,0.001387
89,20359.3,0.57678,0.92749,0.31513,0.88194,0.89832,0.80743,0.89347,0.57469,0.90203,0.81286,0.90118,0.57111,1.10598,1.5566,1.18787,0.95711,0.001288,0.001288,0.001288
90,20587.4,0.56862,0.91754,0.30996,0.88112,0.90041,0.80609,0.89332,0.57482,0.90528,0.81044,0.90087,0.57144,1.10634,1.55963,1.18584,0.95768,0.001189,0.001189,0.001189
91,20814.1,0.48723,0.85509,0.25544,0.84182,0.90058,0.80658,0.89325,0.57511,0.9049,0.81044,0.90077,0.5718,1.1065,1.56192,1.18435,0.95838,0.00109,0.00109,0.00109
92,21040.1,0.47304,0.83869,0.24794,0.83544,0.89737,0.80758,0.89316,0.57603,0.90199,0.81141,0.90056,0.5719,1.10685,1.56393,1.18152,0.95876,0.000991,0.000991,0.000991
93,21266.1,0.46352,0.82644,0.24405,0.83535,0.89982,0.80658,0.89316,0.57665,0.9013,0.81247,0.89964,0.57254,1.10733,1.5663,1.18032,0.95936,0.000892,0.000892,0.000892
94,21492,0.45737,0.81383,0.24048,0.83218,0.89801,0.80899,0.89391,0.57688,0.90123,0.8119,0.89838,0.57238,1.10714,1.56949,1.17896,0.95965,0.000793,0.000793,0.000793
95,21718.2,0.45119,0.80648,0.23698,0.83101,0.89952,0.80851,0.89311,0.57677,0.90046,0.81093,0.89775,0.57252,1.10758,1.57216,1.17922,0.96009,0.000694,0.000694,0.000694
96,21944,0.44188,0.78948,0.23118,0.82639,0.90139,0.80464,0.89254,0.57631,0.90244,0.80957,0.89688,0.57237,1.10776,1.57564,1.17742,0.96067,0.000595,0.000595,0.000595
97,22169.9,0.4334,0.78636,0.22697,0.82285,0.90209,0.80658,0.89368,0.57699,0.90272,0.80773,0.89722,0.57291,1.10828,1.57998,1.17735,0.96161,0.000496,0.000496,0.000496
98,22395.9,0.43,0.7808,0.22595,0.82477,0.9028,0.80561,0.89357,0.57731,0.90311,0.80684,0.897,0.57297,1.10895,1.58458,1.17803,0.9627,0.000397,0.000397,0.000397
99,22621.4,0.4216,0.77544,0.22343,0.81982,0.90175,0.80331,0.89275,0.5775,0.90334,0.80609,0.89671,0.57221,1.10887,1.58936,1.17801,0.96326,0.000298,0.000298,0.000298
100,22847.5,0.41596,0.77199,0.21834,0.81921,0.90507,0.80217,0.89228,0.57831,0.90386,0.80416,0.89646,0.57277,1.10955,1.59401,1.17909,0.9642,0.000199,0.000199,0.000199
