epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,14605.3,0.63211,0.39874,1.46171,0.93549,0.80083,0.88116,0.69347,0.67861,0.4219,1.51692,0.00361144,0.00361144,0.00361144
61,14834.9,0.62865,0.39232,1.46325,0.93553,0.80107,0.88124,0.69396,0.67856,0.42187,1.51743,0.00346146,0.00346146,0.00346146
62,15065.1,0.62399,0.39108,1.4588,0.93634,0.8014,0.88148,0.69443,0.67783,0.42229,1.51763,0.003313,0.003313,0.003313
63,15293.8,0.61876,0.38617,1.4561,0.93743,0.80198,0.88176,0.69463,0.67753,0.42242,1.51791,0.00316622,0.00316622,0.00316622
64,15523,0.61539,0.38212,1.4549,0.93783,0.80115,0.88191,0.69491,0.67729,0.42296,1.51843,0.00302125,0.00302125,0.00302125
65,15753.2,0.61103,0.37882,1.4494,0.93806,0.80143,0.8821,0.69517,0.67724,0.42322,1.51908,0.00287823,0.00287823,0.00287823
66,15982.3,0.60577,0.3744,1.44614,0.93798,0.8016,0.88221,0.69562,0.67751,0.42374,1.52003,0.00273732,0.00273732,0.00273732
67,16212.3,0.59966,0.36924,1.44218,0.93834,0.80066,0.88199,0.6955,0.6775,0.42448,1.52088,0.00259864,0.00259864,0.00259864
68,16445.2,0.59342,0.36389,1.44113,0.93878,0.80022,0.88229,0.69582,0.67775,0.42533,1.52246,0.00246234,0.00246234,0.00246234
69,16674.9,0.58812,0.3591,1.43516,0.93735,0.80115,0.88253,0.69639,0.67765,0.42619,1.52374,0.00232855,0.00232855,0.00232855
70,16905.9,0.58306,0.3537,1.43281,0.93772,0.80025,0.8823,0.69639,0.67778,0.42728,1.52511,0.00219739,0.00219739,0.00219739
71,17136.2,0.57626,0.34875,1.42913,0.9387,0.79909,0.8825,0.69658,0.67806,0.42863,1.52665,0.00206901,0.00206901,0.00206901
72,17365.7,0.56882,0.34429,1.42448,0.93581,0.80034,0.88218,0.69655,0.67854,0.43017,1.52825,0.00194353,0.00194353,0.00194353
73,17594.2,0.56301,0.33873,1.4205,0.937,0.79975,0.88231,0.69715,0.67909,0.43189,1.5299,0.00182107,0.00182107,0.00182107
